date,symbol,nav,ltp,discount_pct,volume,years_to_maturity,days_to_maturity,valuation_bucket,liquidity_bucket,decision_flag,ignore_reasons,composite_score,priority_rank,discount_trend,risk_flag,nav_return_1m
2026-02-12,SBCF,11.34,9.4,-17.11,1300,5.12,1868,deep_discount,low,IGNORE,liquidity:low; maturity:5.1y,53.59,,widening,,-1.94
2026-02-12,LVF2,11.41,9.64,-15.51,1300,7.56,2760,deep_discount,low,IGNORE,liquidity:low; maturity:7.6y,61.38,,narrowing,,-1.93
2026-02-12,LUK,11.66,9.9,-15.09,1000,4.5,1644,deep_discount,low,IGNORE,liquidity:low; maturity:4.5y,62.09,,stable,,-1.17
2026-02-12,SFEF,11.43,9.8,-14.26,1300,6.0,2191,deep_discount,low,IGNORE,liquidity:low; maturity:6.0y,48.52,,widening,,-4.1
2026-02-12,NICGF2,10.14,9.19,-9.37,3180,4.77,1742,deep_discount,medium,IGNORE,maturity:4.8y,68.9,,narrowing,,4.43
2026-02-12,NMBHF2,10.36,9.45,-8.78,5700,9.05,3302,deep_discount,medium,IGNORE,maturity:9.1y,58.14,,stable,,1.87
2026-02-12,NICBF,10.04,9.2,-8.37,892,3.54,1292,deep_discount,low,IGNORE,liquidity:low,66.24,,stable,,3.83
2026-02-12,NSIF2,11.63,10.66,-8.34,175750,6.56,2393,deep_discount,high,IGNORE,maturity:6.6y,65.6,,stable,,2.65
2026-02-12,PRSF,12.29,11.27,-8.3,13100,6.09,2222,deep_discount,medium,IGNORE,maturity:6.1y,65.51,,stable,,3.19
2026-02-12,RSY,10.65,9.78,-8.17,14250,9.22,3366,deep_discount,medium,IGNORE,maturity:9.2y,47.97,,stable,,
2026-02-12,GIBF1,11.68,10.81,-7.45,30200,6.46,2358,moderate_discount,high,IGNORE,maturity:6.5y,63.14,,stable,,
2026-02-12,C30MF,10.47,9.71,-7.26,800,7.25,2648,moderate_discount,low,IGNORE,liquidity:low; maturity:7.2y,38.62,,widening,,
2026-02-12,KEF,10.08,9.38,-6.94,11600,5.1,1860,moderate_discount,medium,IGNORE,maturity:5.1y,63.96,,narrowing,,
2026-02-12,MBLEF,10.83,10.09,-6.83,17400,11.13,4061,moderate_discount,high,IGNORE,maturity:11.1y,48.37,,stable,,
2026-02-12,SIGS2,10.41,9.7,-6.82,400,3.54,1291,moderate_discount,low,IGNORE,liquidity:low,47.36,,widening,,
2026-02-12,KSY,10.26,9.58,-6.63,400,8.1,2957,moderate_discount,low,IGNORE,liquidity:low; maturity:8.1y,40.8,,stable,,2.6
2026-02-12,NIBSF2,9.78,9.15,-6.44,10315,5.29,1932,moderate_discount,medium,IGNORE,maturity:5.3y,50.95,,stable,,
2026-02-12,KDBY,10.95,10.3,-5.94,16500,6.45,2355,moderate_discount,high,IGNORE,maturity:6.5y,61.38,,narrowing,,
2026-02-12,RBBF40,9.97,9.38,-5.92,2440,11.76,4291,moderate_discount,medium,IGNORE,maturity:11.8y,21.82,,widening,high_vol,
2026-02-12,SAGF,10.48,9.87,-5.82,1150,7.79,2845,moderate_discount,low,IGNORE,liquidity:low; maturity:7.8y,38.85,,stable,,2.14
2026-02-12,NBF3,10.2,9.65,-5.39,26825,5.61,2049,moderate_discount,high,IGNORE,maturity:5.6y,43.32,,widening,high_vol,2.51
2026-02-12,MNMF1,10.23,9.7,-5.18,13100,8.85,3232,moderate_discount,medium,IGNORE,maturity:8.8y,47.49,,narrowing,high_vol,
2026-02-12,NIBLSTF,9.75,9.26,-5.03,2900,9.99,3647,moderate_discount,medium,IGNORE,maturity:10.0y,38.89,,narrowing,high_vol,
2026-02-12,RMF2,10.71,10.18,-4.95,26800,7.27,2655,moderate_discount,high,IGNORE,maturity:7.3y,55.15,,narrowing,,
2026-02-12,MMF1,9.55,9.08,-4.92,50545,5.57,2034,moderate_discount,high,IGNORE,maturity:5.6y,54.2,,narrowing,high_vol,
2026-02-12,GSY,10.1,9.65,-4.46,16100,8.89,3246,moderate_discount,high,IGNORE,maturity:8.9y,41.19,,narrowing,high_vol,
2026-02-12,HLICF,9.64,9.25,-4.05,2380,9.59,3502,moderate_discount,medium,IGNORE,maturity:9.6y,23.17,,widening,,
2026-02-12,H8020,11.9,11.42,-4.03,15100,7.64,2788,moderate_discount,medium,IGNORE,maturity:7.6y,26.69,,widening,,
2026-02-12,SIGS3,10.77,10.35,-3.9,6500,7.22,2634,small_discount,medium,IGNORE,valuation:small_discount; maturity:7.2y,44.99,,narrowing,high_vol,
2026-02-12,GBIMESY2,9.82,9.53,-2.95,1600,9.43,3443,small_discount,low,IGNORE,valuation:small_discount; liquidity:low; maturity:9.4y,26.15,,narrowing,high_vol,
2026-02-12,NIBLGF,9.77,9.52,-2.56,3050,6.93,2531,small_discount,medium,IGNORE,valuation:small_discount; maturity:6.9y,17.21,,widening,high_vol,
2026-02-12,SEF,10.02,9.79,-2.3,20800,1.74,634,small_discount,high,IGNORE,valuation:small_discount,47.43,,stable,,
2026-02-12,SLCF,10.12,9.89,-2.27,11440,2.03,741,small_discount,medium,IGNORE,valuation:small_discount,50.41,,narrowing,,
2026-02-12,CMF2,10.04,9.83,-2.09,2500,0.4,146,small_discount,medium,IGNORE,valuation:small_discount,42.82,,stable,,
2026-02-12,NMB50,10.31,10.25,-0.58,1990,0.55,201,small_discount,medium,IGNORE,valuation:small_discount,34.87,,stable,,1.58
2026-02-12,SFMF,11.3,10.23,-9.47,6000,3.73,1361,deep_discount,medium,CONSIDER,,66.79,2.0,stable,,-2.04
2026-02-12,NICFC,10.02,9.16,-8.58,3600,3.34,1219,deep_discount,medium,CONSIDER,,67.24,1.0,stable,,3.51
2026-02-12,NICSF,9.54,8.92,-6.5,6200,2.39,874,moderate_discount,medium,CONSIDER,,60.57,5.0,narrowing,,
2026-02-12,PSF,12.03,11.3,-6.07,2901,2.36,860,moderate_discount,medium,CONSIDER,,63.6,4.0,narrowing,,3.35
2026-02-12,NBF2,10.42,9.85,-5.47,102500,3.3,1204,moderate_discount,high,CONSIDER,,64.44,3.0,narrowing,,2.26
2026-02-12,RMF1,10.02,9.6,-4.19,22700,2.44,892,moderate_discount,high,CONSIDER,,41.33,6.0,stable,high_vol,
