date,symbol,nav,ltp,discount_pct,volume,trades,source
2026-02-17,SBCF,11.34,9.4,-17.11,36034,17,nepse_playwright
2026-02-17,LUK,11.66,9.7,-16.81,18060,8,nepse_playwright
2026-02-11,LVF2,11.41,9.5,-16.74,13670,17,nepse_playwright
2026-02-17,LVF2,11.41,9.54,-16.39,19335,15,nepse_playwright
2026-02-11,SBCF,11.34,9.5,-16.23,8975,13,nepse_playwright
2026-02-10,SBCF,11.34,9.5,-16.23,9000,12,nepse_playwright
2026-02-09,SBCF,11.34,9.53,-15.96,8850,17,nepse_playwright
2026-02-16,SBCF,11.34,9.58,-15.52,124150,19,nepse_playwright
2026-02-17,SFEF,11.43,9.66,-15.49,63600,9,nepse_playwright
2026-02-16,LUK,11.66,9.9,-15.09,8945,9,nepse_playwright
