date,symbol,ltp,price_return_1d,price_return_1w,price_return_1m,discount_change_1d,discount_change_1w,nav_return_1m
2026-02-09,C30MF,9.65,,,,,,1.24
2026-02-10,C30MF,9.83,1.87,,,1.72,,1.24
2026-02-11,C30MF,9.82,-0.1,,,-0.1,,1.24
2026-02-12,C30MF,9.71,-1.12,,,-1.05,,1.24
2026-02-16,C30MF,9.68,-0.31,,,-1.42,,1.24
2026-02-17,C30MF,9.57,-1.14,-0.83,,-1.04,-1.89,1.24
2026-02-22,C30MF,9.61,0.42,-2.24,,0.38,-3.23,1.24
2026-02-23,C30MF,9.8,1.98,-0.2,,1.79,-1.34,1.24
2026-02-24,C30MF,9.7,-1.02,-0.1,,-0.94,-1.23,1.24
2026-02-25,C30MF,9.53,-1.75,-1.55,,-1.6,-1.41,1.24
2026-02-26,C30MF,9.63,1.05,0.63,,0.94,0.57,1.24
2026-03-01,C30MF,9.82,1.97,2.19,,1.79,1.98,1.24
2026-03-03,C30MF,9.82,0.0,0.2,,0.0,0.19,1.24
2026-02-09,CMF2,10.1,,,,,,2.39
2026-02-10,CMF2,10.01,-0.89,,,-0.9,,2.39
2026-02-11,CMF2,9.83,-1.8,,,-1.79,,2.39
2026-02-12,CMF2,9.83,0.0,,,0.0,,2.39
2026-02-16,CMF2,9.86,0.31,,,-2.0,,2.39
2026-02-17,CMF2,10.2,3.45,0.99,,3.31,-1.38,2.39
2026-02-22,CMF2,10.2,0.0,1.9,,0.0,-0.48,2.39
2026-02-23,CMF2,9.87,-3.24,0.41,,-3.21,-1.9,2.39
2026-02-24,CMF2,9.86,-0.1,0.31,,-0.1,-2.0,2.39
2026-02-25,CMF2,10.18,3.25,3.25,,3.12,3.12,2.39
2026-02-26,CMF2,10.24,0.59,0.39,,0.58,0.39,2.39
2026-03-01,CMF2,10.23,-0.1,0.29,,-0.1,0.29,2.39
2026-03-03,CMF2,10.1,-1.27,2.33,,-1.26,2.24,2.39
2026-02-09,GBIMESY2,9.08,,,,,,0.92
