date,symbol,parkinson_vol,parkinson_vol_ann,intraday_range,avg_intraday_range,return_vol_5d,return_vol_22d,volume_cv,max_drawdown,sharpe_1m
2026-08-26,C30MF,1.1002,17.46,1.5385,1.4114,1.4622,1.3945,2.8447,-5.83,-0.03
2026-08-26,CMF2,1.1427,18.14,,,0.0,0.9861,1.6894,-7.45,-0.36
2026-08-26,GBIMESY2,2.0732,32.91,0.0,2.9255,1.157,1.5869,8.8566,-10.82,-0.21
2026-08-26,GIBF1,1.582,25.11,2.1657,2.2302,0.984,1.2407,3.2728,-9.65,-0.08
2026-08-26,GSY,1.8458,29.3,0.5464,2.4862,0.729,2.6413,2.7302,-12.52,-0.35
2026-08-26,H8020,1.8969,30.11,0.1672,2.6682,1.4593,1.7817,3.8211,-7.87,0.24
2026-08-26,HLICF,2.2431,35.61,3.7349,3.2473,1.9902,2.2848,2.8478,-16.25,-1.13
2026-08-26,KDBY,2.0705,32.87,0.7976,2.951,4.676,2.3167,1.8474,-20.49,0.02
2026-08-26,KEF,1.8933,30.05,6.2699,2.7185,4.892,2.7251,3.0657,-15.68,0.03
2026-08-26,KSY,1.7353,27.55,0.0,2.3547,2.0956,1.6557,5.5498,-9.17,-0.14
2026-08-26,LUK,1.6391,26.02,0.0,2.053,2.0525,3.8687,1.4904,-11.66,0.03
2026-08-26,LVF2,1.5537,24.66,0.8889,2.0727,2.5106,3.1412,1.899,-13.4,-0.39
2026-08-26,MBLEF,1.6266,25.82,1.4614,2.4212,0.6679,1.5527,2.4205,-10.85,-0.63
2026-08-26,MMF1,3.1502,50.01,5.2922,4.7998,2.8347,2.0274,1.976,-13.04,0.06
2026-08-26,MNMF1,1.8515,29.39,3.7675,2.7438,0.9493,1.552,1.7325,-8.92,-0.14
2026-08-26,NBF2,1.4301,22.7,1.3444,1.927,1.9401,1.4877,3.0638,-9.54,-0.15
2026-08-26,NBF3,1.8113,28.75,4.2797,2.6334,0.7356,1.4264,0.9955,-6.31,-0.02
2026-08-26,NIBLGF,3.2935,52.28,5.9719,3.852,3.2567,2.72,2.221,-22.27,-0.45
2026-08-26,NIBLSTF,2.9503,46.83,0.0,4.1677,0.9707,1.217,1.7225,-15.6,-0.56
2026-08-26,NIBSF2,2.3993,38.09,1.1765,3.0545,1.7547,1.6344,7.1553,-17.19,-0.59
2026-08-26,NICBF,2.0684,32.84,0.0,1.7695,2.8425,2.2196,2.4527,-14.88,0.04
2026-08-26,NICFC,1.7995,28.57,4.0359,2.617,2.8217,2.0096,1.4473,-9.28,-0.28
2026-08-26,NICGF2,2.0355,32.31,0.0,2.8595,1.1337,1.8643,2.1188,-12.16,-0.4
2026-08-26,NICSF,2.0112,31.93,2.8708,2.9723,3.8792,2.5348,6.4735,-15.13,-0.5
2026-08-26,NMB50,1.118,17.75,0.1033,1.3394,1.4394,1.4509,2.5809,-12.48,-0.48
2026-08-26,NMBHF2,1.8402,29.21,1.1312,2.6932,2.2429,1.7918,7.5207,-12.73,-0.48
2026-08-26,NSIF2,1.4155,22.47,1.5075,1.9794,3.7425,2.132,2.0286,-11.16,-0.59
2026-08-26,PRSF,1.5761,25.02,0.9524,2.1905,0.9131,0.7558,2.4435,-6.58,1.09
2026-08-26,PSF,1.747,27.73,1.7355,2.5203,0.4187,1.0684,2.6227,-7.5,0.68
2026-08-26,RBBF40,2.385,37.86,2.043,3.3291,1.8061,1.7224,5.7257,-14.0,-0.06
2026-08-26,RMF1,2.4139,38.32,1.0582,3.2916,2.1286,1.9719,2.6515,-7.81,-0.1
2026-08-26,RMF2,1.2133,19.26,0.0,1.4466,0.8357,1.1229,3.4345,-7.62,-0.21
2026-08-26,RSY,1.8142,28.8,3.0211,2.7092,2.8434,1.6256,1.9354,-7.2,-0.13
2026-08-26,SAGF,1.4827,23.54,0.0,1.9272,0.4256,1.7948,1.7998,-7.28,0.24
2026-08-26,SBCF,2.0614,32.72,2.9316,2.8192,1.7638,2.513,5.9408,-9.62,-0.21
2026-08-26,SEF,1.9647,31.19,1.7914,2.3467,2.0134,2.5813,1.8644,-11.63,-0.23
2026-08-26,SFEF,1.0237,16.25,2.9076,1.2495,1.1026,1.3403,2.2356,-9.15,-0.26
2026-08-26,SFMF,0.9746,15.47,0.0,0.9336,1.1397,1.3342,1.8472,-12.81,-0.68
2026-08-26,SIGS2,1.0998,17.46,0.0,1.134,0.627,1.5292,2.2054,-11.93,0.33
2026-08-26,SIGS3,1.49,23.65,0.553,1.9707,0.614,1.4266,4.0998,-10.37,0.4
2026-08-26,SLCF,1.8916,30.03,0.5525,2.5561,1.1411,2.9707,2.2381,-14.22,-0.53
