date,symbol,name,nav,ltp,discount_pct,volume,fund_size,days_to_maturity,years_to_maturity,price_return_1d,price_return_1w,discount_change_1d,discount_change_1w,parkinson_vol,parkinson_vol_ann,nav_return_1m,discount_score,liquidity_score,maturity_score,nav_growth_score,momentum_score,volatility_score,disc_trend_score,composite_score,rank
2026-08-25,LUK,Laxmi Unnati Kosh,11.66,9.55,-18.1,12500,652623600,1450,3.97,-1.55,-4.4,-1.29,-3.78,1.6456,26.12,-1.17,92.5,62.5,70.0,85.0,25.0,62.5,25.0,67.38,1
2026-08-25,NICFC,NIC Asia Flexi Cap Fund,10.3,8.9,-13.59,3398,1020000000,1025,2.81,-3.26,-1.87,-2.91,-1.65,1.7934,28.47,0.88,80.0,45.0,80.0,93.75,47.5,55.00000000000001,47.5,67.13,2
2026-08-25,SFMF,Sunrise First Mutual Fund,11.3,9.6,-15.04,3501,860000000,1167,3.2,-1.03,-4.95,-0.88,-4.42,0.9784,15.53,-2.04,82.5,47.5,72.5,55.00000000000001,20.0,97.5,22.5,62.25,3
2026-08-25,GIBF1,Global IME Balanced Fund-I,11.78,10.75,-8.74,68300,1025763600,2164,5.93,-0.46,-0.46,-0.42,-0.42,1.5841,25.15,-1.59,44.99999999999999,90.0,44.99999999999999,77.5,65.0,67.5,65.0,61.25,4
2026-08-25,NICSF,NIC Asia Select-30,9.55,8.67,-9.21,2740,1250000000,680,1.86,-2.03,1.88,-1.88,1.68,2.0134,31.96,-2.55,52.5,35.0,87.5,47.5,97.5,30.000000000000004,92.5,60.88,5
2026-08-25,NBF3,Nabil Balanced Fund III,10.32,9.7,-6.01,61100,1250000000,1855,5.08,0.0,1.25,0.0,1.16,1.8035,28.63,1.18,17.500000000000004,87.5,55.00000000000001,97.5,85.0,52.5,85.0,58.63,6
2026-08-25,PRSF,Prabhu Smart Fund,14.03,12.75,-9.12,142750,1000000000,2028,5.56,0.16,-0.39,0.15,-0.35,1.5814,25.1,-5.01,50.0,100.0,50.0,5.0,67.5,70.0,67.5,58.5,7
2026-08-25,NMB50,NMB 50,10.45,9.7,-7.18,17000,1250000000,7,0.02,-0.51,-2.02,-0.48,-1.92,1.1223,17.82,-1.42,25.0,72.5,97.5,82.5,42.5,87.5,42.5,58.5,7
2026-08-25,PSF,Prabhu Select Fund,13.04,12.1,-7.21,59735,1250000000,666,1.82,0.58,0.83,0.54,0.77,1.7514,27.8,-4.26,27.500000000000004,85.0,90.0,10.0,82.5,57.49999999999999,82.5,57.75,9
2026-08-25,NICGF2,NIC Asia Growth Fund 2,10.4,8.74,-15.96,300,905000000,1548,4.24,-2.46,-2.89,-2.11,-2.5,2.0434,32.44,1.36,87.5,8.75,67.5,100.0,35.0,27.500000000000004,35.0,57.44,10
2026-08-25,SEF,Siddhartha Equity Fund,10.36,9.28,-10.42,16175,1500000000,440,1.21,0.11,-2.32,0.1,-2.12,1.97,31.27,-2.72,60.0,70.0,95.0,32.5,37.5,32.49999999999999,37.5,56.75,11
2026-08-25,LVF2,Laxmi Value Fund-II,11.41,8.92,-21.82,3000,800000000,2566,7.03,-1.98,-7.56,-1.57,-6.39,1.5591,24.75,-1.93,97.5,38.75,30.000000000000004,65.0,12.5,72.5,15.0,56.06,12
2026-08-25,NSIF2,NMB Sulav Investment Fund - II,11.66,10.08,-13.55,19451,1200000000,2199,6.02,-0.2,-8.36,-0.17,-7.89,1.4188,22.52,-2.26,77.5,75.0,42.50000000000001,50.0,7.5,82.5,7.5,55.63,13
2026-08-25,SFEF,Sunrise Focused Equity Fund,11.43,9.64,-15.66,100,1000000000,1997,5.47,-2.23,-1.63,-1.92,-1.4,1.016,16.13,-4.1,85.0,2.5,52.5,15.0,52.5,95.0,55.00000000000001,55.5,14
2026-08-25,NIBLGF,NIBL Growth Fund,9.76,8.8,-9.84,11000,1320000000,2337,6.4,-0.56,1.85,-0.52,1.64,3.2919,52.26,-2.2,55.00000000000001,60.0,40.0,52.5,93.75,0.0,90.0,55.13,15
2026-08-25,NICBF,NIC ASIA Balanced Fund,10.32,9.03,-12.5,200,755000000,1098,3.01,-2.9,-1.95,-2.62,-1.74,2.0766,32.96,0.88,70.0,5.0,75.0,93.75,45.0,22.499999999999996,45.0,53.63,16
2026-08-25,NBF2,Nabil Balanced Fund - 2,10.47,9.83,-6.11,1200,1120000000,1010,2.77,-2.58,0.2,-2.48,0.19,1.4339,22.76,0.48,19.999999999999996,25.0,82.5,90.0,72.5,80.0,72.5,53.62,17
2026-08-25,NIBSF2,NIBL Samriddhi Fund - 2,9.75,8.53,-12.51,3639,1500000000,1738,4.76,1.79,-3.07,1.54,-2.77,2.4078,38.22,-1.81,72.5,50.0,60.0,68.75,32.5,9.999999999999998,32.5,52.63,18
2026-08-25,SBCF,Sunrise Bluechip Fund,11.34,9.21,-18.78,1100,1250000000,1674,4.59,-0.11,-7.9,-0.09,-6.96,2.0637,32.76,-1.94,95.0,22.5,62.5,62.5,10.0,25.0,10.0,52.0,19
2026-08-25,KDBY,Kumari Dhanabriddhi Yojana,12.26,10.05,-18.03,28891,1225072590,2161,5.92,0.6,-9.05,0.49,-8.16,2.0782,32.99,-4.14,90.0,80.0,47.5,12.5,2.5,19.999999999999996,5.0,50.13,20
2026-08-25,RMF2,RBB Mutual Fund 2,10.86,10.0,-7.92,3000,846119290,2461,6.74,-0.1,-0.99,-0.09,-0.92,1.218,19.34,-1.81,35.0,38.75,32.49999999999999,68.75,62.5,85.0,62.5,49.06,21
