date,nav,source
2024-03-13,10.0,kumari_monthly
2024-04-12,9.93,kumari_monthly
2024-05-13,9.9,kumari_monthly
2024-06-14,10.04,kumari_monthly
2024-07-15,10.49,kumari_monthly
2024-08-16,11.69,kumari_monthly
2024-09-16,10.7,kumari_monthly
2024-10-16,11.05,kumari_monthly
2024-11-15,11.03,kumari_monthly
2024-12-15,10.55,kumari_monthly
2025-01-13,10.31,kumari_monthly
2025-02-12,10.54,kumari_monthly
2025-03-13,10.73,kumari_monthly
2025-04-13,10.48,kumari_monthly
2025-05-14,10.62,kumari_monthly
2025-06-14,10.73,kumari_monthly
2025-07-16,11.35,kumari_monthly
2025-08-16,11.39,kumari_monthly
2025-09-16,10.21,kumari_monthly
2025-10-17,9.42,kumari_monthly
2025-11-16,9.64,kumari_monthly
2025-12-15,10.00,kumari_monthly
2026-01-14,10.26,kumari_monthly
2026-02-12,10.24,kumari_monthly
2026-03-14,10.75,kumari_monthly
