date,nav,source
2019-11-01,9.94,laxmi_monthly
2019-12-01,10.00,laxmi_monthly
2019-12-31,10.21,laxmi_monthly
2020-01-29,10.42,laxmi_monthly
2020-02-27,10.56,laxmi_monthly
2020-03-28,10.29,laxmi_monthly
2020-04-27,10.14,laxmi_monthly
2020-05-28,10.21,laxmi_monthly
2020-06-29,10.94,laxmi_monthly
2020-07-30,11.20,laxmi_monthly
2020-08-31,11.81,laxmi_monthly
2020-10-01,11.23,laxmi_monthly
2020-10-31,11.82,laxmi_monthly
2020-11-30,13.19,laxmi_monthly
2020-12-30,14.08,laxmi_monthly
2021-01-28,15.05,laxmi_monthly
2021-02-27,17.05,laxmi_monthly
2021-03-28,18.60,laxmi_monthly
2021-04-28,18.57,laxmi_monthly
2021-05-29,19.58,laxmi_monthly
2021-06-29,19.21,laxmi_monthly
2021-07-30,20.48,laxmi_monthly
2021-08-31,14.62,laxmi_monthly
2021-10-01,14.38,laxmi_monthly
2021-11-01,14.67,laxmi_monthly
2021-12-01,13.48,laxmi_monthly
2021-12-30,14.88,laxmi_monthly
2022-01-29,14.65,laxmi_monthly
2022-02-27,14.35,laxmi_monthly
2022-03-29,13.75,laxmi_monthly
2022-04-28,13.61,laxmi_monthly
2022-05-29,12.63,laxmi_monthly
2022-06-29,12.76,laxmi_monthly
2022-07-31,12.90,laxmi_monthly
2022-08-31,11.32,laxmi_monthly
2022-10-01,11.19,laxmi_monthly
2022-11-01,11.37,laxmi_monthly
2022-12-01,11.39,laxmi_monthly
2022-12-30,12.39,laxmi_monthly
2023-01-29,12.55,laxmi_monthly
2023-02-27,12.07,laxmi_monthly
2023-03-29,12.04,laxmi_monthly
2023-04-28,11.77,laxmi_monthly
2023-05-29,11.77,laxmi_monthly
2023-06-30,12.53,laxmi_monthly
2023-07-31,12.92,laxmi_monthly
2023-09-01,12.90,laxmi_monthly
2023-10-02,12.65,laxmi_monthly
2023-11-01,10.70,laxmi_monthly
2023-12-01,10.62,laxmi_monthly
2023-12-31,11.06,laxmi_monthly
2024-01-29,11.37,laxmi_monthly
2024-02-27,11.25,laxmi_monthly
2024-03-28,11.30,laxmi_monthly
2024-04-27,11.07,laxmi_monthly
2025-05-29,11.30,laxmi_monthly
2025-12-15,10.03,sharesansar_monthly
