date,nav,source
2021-03-28,9.96,laxmi_monthly
2021-04-28,9.95,laxmi_monthly
2021-05-29,10.07,laxmi_monthly
2021-06-29,10.06,laxmi_monthly
2021-07-30,10.50,laxmi_monthly
2021-08-31,10.15,laxmi_monthly
2021-10-01,10.03,laxmi_monthly
2021-11-01,10.18,laxmi_monthly
2021-12-01,9.38,laxmi_monthly
2021-12-30,10.39,laxmi_monthly
2022-01-29,10.16,laxmi_monthly
2022-02-27,9.93,laxmi_monthly
2022-04-28,9.47,laxmi_monthly
2022-05-29,8.75,laxmi_monthly
2022-06-29,8.82,laxmi_monthly
2022-07-31,8.86,laxmi_monthly
2022-08-31,8.67,laxmi_monthly
2022-10-01,8.54,laxmi_monthly
2022-11-01,8.70,laxmi_monthly
2022-12-01,8.78,laxmi_monthly
2022-12-30,9.65,laxmi_monthly
2023-01-29,9.58,laxmi_monthly
2023-02-27,9.19,laxmi_monthly
2023-03-29,9.16,laxmi_monthly
2023-04-28,8.95,laxmi_monthly
2023-05-29,8.95,laxmi_monthly
2023-06-30,9.63,laxmi_monthly
2023-07-31,9.89,laxmi_monthly
2023-09-01,9.92,laxmi_monthly
2023-10-02,9.68,laxmi_monthly
2023-11-01,9.33,laxmi_monthly
2023-12-01,9.26,laxmi_monthly
2023-12-31,9.68,laxmi_monthly
2024-01-29,9.94,laxmi_monthly
2024-02-27,9.78,laxmi_monthly
2024-03-28,9.80,laxmi_monthly
2024-04-27,9.61,laxmi_monthly
2024-10-31,11.45,laxmi_monthly
2025-05-29,11.34,laxmi_monthly
2025-12-15,10.24,sharesansar_monthly
