date,nav,source
2021-10-17,9.87,nabil_monthly
2021-11-16,10.04,nabil_monthly
2021-12-15,9.23,nabil_monthly
2022-01-14,10.28,nabil_monthly
2022-02-11,10.20,nabil_monthly
2022-03-14,9.90,nabil_monthly
2022-04-13,9.38,nabil_monthly
2022-05-13,9.23,nabil_monthly
2022-06-14,8.48,nabil_monthly
2022-07-15,8.58,nabil_monthly
2022-08-16,8.53,nabil_monthly
2022-09-16,8.28,nabil_monthly
2022-10-17,8.13,nabil_monthly
2022-11-16,8.25,nabil_monthly
2022-12-15,8.22,nabil_monthly
2023-01-13,9.07,nabil_monthly
2023-02-13,8.95,nabil_monthly
2023-03-13,8.44,nabil_monthly
2023-04-13,8.44,nabil_monthly
2023-05-14,8.16,nabil_monthly
2023-06-15,8.79,nabil_monthly
2023-07-16,9.14,nabil_monthly
2023-08-17,8.90,nabil_monthly
2023-09-17,8.76,nabil_monthly
2023-10-17,8.54,nabil_monthly
2023-11-16,8.61,nabil_monthly
2023-12-15,8.88,nabil_monthly
2024-01-14,9.43,nabil_monthly
2024-02-12,9.33,nabil_monthly
2024-03-13,9.33,nabil_monthly
2024-04-12,9.07,nabil_monthly
2024-05-13,8.97,nabil_monthly
2024-06-14,9.28,nabil_monthly
2024-07-15,9.88,nabil_monthly
2024-08-16,12.60,nabil_monthly
2024-09-16,10.98,nabil_monthly
2024-10-16,11.61,nabil_monthly
2024-11-15,11.64,nabil_monthly
2024-12-15,11.17,nabil_monthly
2025-01-13,10.96,nabil_monthly
2025-02-12,11.27,nabil_monthly
2025-03-13,11.51,nabil_monthly
2025-04-13,11.23,nabil_monthly
2025-05-14,11.19,nabil_monthly
2025-06-14,11.22,nabil_monthly
2025-07-16,11.74,nabil_monthly
2025-08-15,11.75,nabil_monthly
2025-09-16,10.15,nabil_monthly
2025-10-17,9.57,nabil_monthly
2025-11-16,9.83,nabil_monthly
2025-12-12,9.95,nabil_monthly
2026-01-14,10.20,nabil_monthly
