date,nav,source
2023-08-17,11.18,nicasia_monthly
2023-09-17,11.10,nicasia_monthly
2023-10-17,10.97,nicasia_monthly
2023-11-16,9.95,nicasia_monthly
2023-12-16,10.31,nicasia_monthly
2024-01-14,10.65,nicasia_monthly
2024-02-12,10.54,nicasia_monthly
2024-03-13,10.59,nicasia_monthly
2024-04-12,10.39,nicasia_monthly
2024-05-13,10.35,nicasia_monthly
2024-06-14,10.61,nicasia_monthly
2024-07-15,11.00,nicasia_monthly
2024-08-16,12.78,nicasia_monthly
2024-09-16,10.89,nicasia_monthly
2024-10-16,11.38,nicasia_monthly
2024-11-15,11.28,nicasia_monthly
2024-12-15,10.93,nicasia_monthly
2025-01-13,10.78,nicasia_monthly
2025-02-12,10.92,nicasia_monthly
2025-03-13,11.01,nicasia_monthly
2025-04-13,10.84,nicasia_monthly
2025-05-14,10.75,nicasia_monthly
2025-06-14,10.84,nicasia_monthly
2025-07-16,11.42,nicasia_monthly
2025-08-16,10.21,nicasia_monthly
2025-09-16,9.99,nicasia_monthly
2025-10-17,9.56,nicasia_monthly
2025-11-16,9.67,nicasia_monthly
2025-12-15,9.86,nicasia_monthly
2026-01-14,10.04,nicasia_monthly
2026-02-12,10.03,nicasia_monthly
