date,nav,source
2023-08-17,10.48,nicasia_monthly
2023-09-17,10.34,nicasia_monthly
2023-10-17,10.23,nicasia_monthly
2023-11-16,10.18,nicasia_monthly
2023-12-16,10.72,nicasia_monthly
2024-01-14,11.12,nicasia_monthly
2024-02-12,11.00,nicasia_monthly
2024-03-13,10.95,nicasia_monthly
2024-04-12,10.65,nicasia_monthly
2024-05-13,10.63,nicasia_monthly
2024-06-14,10.84,nicasia_monthly
2024-07-15,11.34,nicasia_monthly
2024-08-16,13.44,nicasia_monthly
2024-09-16,11.18,nicasia_monthly
2024-10-16,11.74,nicasia_monthly
2024-11-15,11.64,nicasia_monthly
2024-12-15,11.22,nicasia_monthly
2025-01-13,10.92,nicasia_monthly
2025-02-12,11.24,nicasia_monthly
2025-03-13,11.28,nicasia_monthly
2025-04-13,10.94,nicasia_monthly
2025-05-14,10.90,nicasia_monthly
2025-06-14,10.96,nicasia_monthly
2025-07-16,11.64,nicasia_monthly
2025-08-16,10.46,nicasia_monthly
2025-09-16,10.22,nicasia_monthly
2025-10-17,9.60,nicasia_monthly
2025-11-16,9.68,nicasia_monthly
2025-12-15,9.83,nicasia_monthly
2026-01-14,10.02,nicasia_monthly
2026-02-12,10.09,nicasia_monthly
