date,nav,source
2024-01-14,9.98,nicasia_monthly
2024-02-12,9.93,nicasia_monthly
2024-03-13,9.94,nicasia_monthly
2024-04-12,9.78,nicasia_monthly
2024-05-13,9.69,nicasia_monthly
2024-06-14,9.75,nicasia_monthly
2024-07-15,10.07,nicasia_monthly
2024-08-16,11.51,nicasia_monthly
2024-09-16,10.61,nicasia_monthly
2024-10-16,11.01,nicasia_monthly
2024-11-15,10.92,nicasia_monthly
2024-12-15,10.60,nicasia_monthly
2025-01-13,10.40,nicasia_monthly
2025-02-12,10.69,nicasia_monthly
2025-03-13,10.68,nicasia_monthly
2025-04-13,10.36,nicasia_monthly
2025-05-14,10.25,nicasia_monthly
2025-06-14,10.13,nicasia_monthly
2025-07-16,10.77,nicasia_monthly
2025-08-16,10.58,nicasia_monthly
2025-09-16,10.32,nicasia_monthly
2025-10-17,9.62,nicasia_monthly
2025-11-16,9.71,nicasia_monthly
2025-12-15,10.14,sharesansar_monthly
2026-01-14,10.14,nicasia_monthly
