date,nav,source
2020-05-17,10.43,nmb_monthly
2020-07-30,10.97,nmb_monthly
2020-08-26,11.41,nmb_monthly
2020-09-24,10.98,nmb_monthly
2020-10-26,11.73,nmb_monthly
2020-11-25,13.45,nmb_monthly
2020-12-25,14.65,nmb_monthly
2021-01-17,16.02,nmb_monthly
2021-02-23,16.37,nmb_monthly
2021-03-19,17.57,nmb_monthly
2021-04-14,17.51,nmb_monthly
2021-05-24,19.43,nmb_monthly
2021-06-15,18.96,nmb_monthly
2021-06-23,10.90,nmb_monthly
2021-07-19,20.42,nmb_monthly
2021-08-17,16.04,nmb_monthly
2021-09-17,15.84,nmb_monthly
2021-10-24,16.16,nmb_monthly
2021-11-22,14.61,nmb_monthly
2022-01-14,16.50,nmb_monthly
2022-02-12,16.07,nmb_monthly
2022-03-14,15.61,nmb_monthly
2022-04-13,14.81,nmb_monthly
2022-05-14,14.69,nmb_monthly
2022-06-14,13.20,nmb_monthly
2022-07-16,13.28,nmb_monthly
2022-08-16,11.14,nmb_monthly
2022-09-16,10.75,nmb_monthly
2022-10-17,10.67,nmb_monthly
2022-11-16,10.84,nmb_monthly
2022-12-15,10.68,nmb_monthly
2023-01-14,11.64,nmb_monthly
2023-02-12,11.51,nmb_monthly
2023-03-14,11.02,nmb_monthly
2023-04-13,11.07,nmb_monthly
2023-05-14,10.71,nmb_monthly
2023-06-15,11.83,nmb_monthly
2023-07-16,12.34,nmb_monthly
2023-08-17,12.22,nmb_monthly
2023-09-17,11.93,nmb_monthly
2023-10-17,10.04,nmb_monthly
2023-11-16,9.94,nmb_monthly
2023-12-16,10.45,nmb_monthly
2024-01-14,10.89,nmb_monthly
2024-02-12,10.72,nmb_monthly
2024-03-13,10.86,nmb_monthly
2024-04-12,10.57,nmb_monthly
2024-05-13,10.53,nmb_monthly
2024-06-14,11.12,nmb_monthly
2024-07-15,11.71,nmb_monthly
2024-08-16,14.50,nmb_monthly
2024-09-16,12.98,nmb_monthly
2024-10-16,12.18,nmb_monthly
2024-11-15,12.07,nmb_monthly
2024-12-15,11.51,nmb_monthly
2025-01-13,11.18,nmb_monthly
2025-02-12,11.41,nmb_monthly
2025-03-13,11.64,nmb_monthly
2025-04-13,11.39,nmb_monthly
2025-05-14,11.31,nmb_monthly
2025-06-14,11.45,nmb_monthly
2025-07-16,12.18,nmb_monthly
2025-08-16,12.07,nmb_monthly
2025-09-16,10.21,nmb_monthly
2025-10-17,9.68,nmb_monthly
2025-11-16,9.88,nmb_monthly
2025-12-15,10.15,nmb_monthly
2026-01-14,10.31,nmb_monthly
2026-02-12,10.32,nmb_monthly
2026-03-14,10.86,nmb_monthly
