date,nav,source
2023-03-17,10.00,prabhu_monthly
2023-04-13,10.02,prabhu_monthly
2023-05-14,10.00,prabhu_monthly
2023-06-15,10.43,prabhu_monthly
2023-07-16,10.53,prabhu_monthly
2023-08-17,10.54,prabhu_monthly
2023-09-17,10.45,prabhu_monthly
2023-10-17,10.17,prabhu_monthly
2023-11-16,10.14,prabhu_monthly
2023-12-16,10.60,prabhu_monthly
2024-01-14,10.96,prabhu_monthly
2024-02-12,10.94,prabhu_monthly
2024-03-13,10.92,prabhu_monthly
2024-04-12,10.71,prabhu_monthly
2024-05-13,10.60,prabhu_monthly
2024-06-14,10.91,prabhu_monthly
2024-07-15,11.52,prabhu_monthly
2024-08-16,14.10,prabhu_monthly
2024-09-16,12.82,prabhu_monthly
2024-10-16,12.44,prabhu_monthly
2024-11-15,12.58,prabhu_monthly
2024-12-15,12.11,prabhu_monthly
2025-01-13,12.01,prabhu_monthly
2025-02-12,12.43,prabhu_monthly
2025-03-13,12.63,prabhu_monthly
2025-04-13,12.38,prabhu_monthly
2025-05-14,12.46,prabhu_monthly
2025-06-14,12.78,prabhu_monthly
2025-07-16,13.53,prabhu_monthly
2025-08-16,13.42,prabhu_monthly
2025-09-16,12.07,prabhu_monthly
2025-10-17,11.30,prabhu_monthly
2025-11-16,11.54,prabhu_monthly
2025-12-15,11.91,prabhu_monthly
2026-01-14,12.29,prabhu_monthly
2026-02-12,12.32,prabhu_monthly
