date,nav,source
2021-06-14,10.06,prabhu_monthly
2021-07-15,9.94,prabhu_monthly
2021-08-16,10.59,prabhu_monthly
2021-10-01,10.39,prabhu_monthly
2021-10-17,10.31,prabhu_monthly
2021-11-16,10.53,prabhu_monthly
2021-12-16,10.19,prabhu_monthly
2022-01-14,10.82,prabhu_monthly
2022-02-12,10.70,prabhu_monthly
2022-03-14,10.45,prabhu_monthly
2022-04-13,10.23,prabhu_monthly
2022-05-14,10.18,prabhu_monthly
2022-06-14,9.69,prabhu_monthly
2022-07-16,9.82,prabhu_monthly
2022-08-16,9.89,prabhu_monthly
2022-09-16,9.74,prabhu_monthly
2022-10-17,9.72,prabhu_monthly
2022-11-16,9.83,prabhu_monthly
2022-12-15,9.84,prabhu_monthly
2023-01-14,10.47,prabhu_monthly
2023-02-12,10.47,prabhu_monthly
2023-03-14,10.19,prabhu_monthly
2023-04-13,10.29,prabhu_monthly
2023-05-14,10.17,prabhu_monthly
2023-06-15,10.71,prabhu_monthly
2023-07-16,11.00,prabhu_monthly
2023-08-17,10.90,prabhu_monthly
2023-09-17,10.82,prabhu_monthly
2023-10-17,9.65,prabhu_monthly
2023-11-16,9.57,prabhu_monthly
2023-12-16,10.20,prabhu_monthly
2024-01-14,10.68,prabhu_monthly
2024-02-12,10.62,prabhu_monthly
2024-03-13,10.59,prabhu_monthly
2024-04-12,10.78,prabhu_monthly
2024-05-13,10.62,prabhu_monthly
2024-06-14,11.00,prabhu_monthly
2024-07-15,11.50,prabhu_monthly
2024-08-16,14.09,prabhu_monthly
2024-09-16,12.84,prabhu_monthly
2024-10-16,12.34,prabhu_monthly
2024-11-15,12.42,prabhu_monthly
2024-12-15,11.94,prabhu_monthly
2025-01-13,11.85,prabhu_monthly
2025-02-12,12.30,prabhu_monthly
2025-03-13,12.51,prabhu_monthly
2025-04-13,12.27,prabhu_monthly
2025-05-14,12.36,prabhu_monthly
2025-06-14,12.74,prabhu_monthly
2025-07-16,13.46,prabhu_monthly
2025-08-16,13.31,prabhu_monthly
2025-09-16,11.77,prabhu_monthly
2025-10-17,11.01,prabhu_monthly
2025-11-16,11.31,prabhu_monthly
2025-12-15,11.64,prabhu_monthly
2026-01-14,12.03,prabhu_monthly
