date,nav,source
2022-12-15,9.93,sanima_monthly
2023-01-14,9.98,sanima_monthly
2023-02-12,9.99,sanima_monthly
2023-03-14,9.87,sanima_monthly
2023-04-13,9.96,sanima_monthly
2023-05-14,9.84,sanima_monthly
2023-06-15,10.09,sanima_monthly
2023-07-16,10.27,sanima_monthly
2023-08-17,10.15,sanima_monthly
2023-09-17,10.10,sanima_monthly
2023-10-17,9.88,sanima_monthly
2023-11-16,9.94,sanima_monthly
2023-12-16,10.41,sanima_monthly
2024-01-14,11.06,sanima_monthly
2024-02-12,10.96,sanima_monthly
2024-03-13,10.94,sanima_monthly
2024-04-12,10.76,sanima_monthly
2024-05-13,10.69,sanima_monthly
2024-06-14,10.94,sanima_monthly
2024-07-15,11.35,sanima_monthly
2024-08-16,13.45,sanima_monthly
2024-09-16,11.38,sanima_monthly
2024-10-16,11.85,sanima_monthly
2024-11-15,11.84,sanima_monthly
2024-12-15,11.45,sanima_monthly
2025-01-13,11.18,sanima_monthly
2025-02-12,11.50,sanima_monthly
2025-03-13,11.77,sanima_monthly
2025-04-13,11.46,sanima_monthly
2025-05-14,11.46,sanima_monthly
2025-06-14,11.52,sanima_monthly
2025-07-16,12.14,sanima_monthly
2025-08-16,12.20,sanima_monthly
2025-09-16,10.26,sanima_monthly
2025-10-17,9.79,sanima_monthly
2025-11-16,9.99,sanima_monthly
2025-12-15,10.26,sanima_monthly
2026-01-14,10.48,sanima_monthly
2026-02-12,10.53,sanima_monthly
