date,nav,source
2023-01-29,9.94,laxmi_monthly
2023-02-27,9.94,laxmi_monthly
2023-03-29,9.92,laxmi_monthly
2023-04-28,9.97,laxmi_monthly
2023-05-29,9.88,laxmi_monthly
2023-06-30,10.05,laxmi_monthly
2023-07-31,10.24,laxmi_monthly
2023-09-01,10.17,laxmi_monthly
2023-10-02,10.30,laxmi_monthly
2023-11-01,9.65,laxmi_monthly
2023-12-01,9.63,laxmi_monthly
2023-12-31,10.04,laxmi_monthly
2024-01-29,10.33,laxmi_monthly
2024-02-27,10.17,laxmi_monthly
2024-03-28,10.24,laxmi_monthly
2024-04-27,9.82,laxmi_monthly
2025-05-29,11.43,laxmi_monthly
2025-12-15,10.54,sharesansar_monthly
