date,symbol,name,nav,ltp,discount_pct,volume,days_to_maturity,years_to_maturity,valuation_bucket,liquidity_bucket,decision_flag,ignore_reasons,rank,priority_rank,discount_trend,risk_flag,consider_streak,price_return_1d,price_return_1w,discount_change_1d,discount_change_1w,parkinson_vol,parkinson_vol_ann,intraday_range,avg_intraday_range,return_vol_5d,volume_cv,max_drawdown,sharpe_1m
2026-09-24,SBCF,Sunrise Bluechip Fund,11.34,8.92,-21.34,35400,1644,4.5,deep_discount,medium,IGNORE,maturity:4.5y,8,,widening,high_vol,0,-0.89,-1.22,-0.71,-0.97,2.0691,32.85,4.148,2.8487,2.7033,6.1751,-14.33,-0.34
2026-09-24,SFEF,Sunrise Focused Equity Fund,11.43,9.11,-20.3,4950,1967,5.39,deep_discount,medium,IGNORE,maturity:5.4y,9,,widening,,0,2.13,-0.98,1.66,-0.79,1.1021,17.49,0.7684,1.3196,1.3454,2.3538,-15.85,-0.66
2026-09-24,LVF2,Laxmi Value Fund-II,11.41,9.1,-20.25,900,2536,6.95,deep_discount,low,IGNORE,liquidity:low; maturity:7.0y,21,,widening,,0,-0.55,-2.47,-0.44,-2.02,1.574,24.99,3.6264,2.0726,1.5211,1.9902,-13.4,-0.3
2026-09-24,LUK,Laxmi Unnati Kosh,11.66,9.48,-18.7,100,1420,3.89,deep_discount,low,IGNORE,liquidity:low,4,,narrowing,,0,-2.97,1.5,-2.49,1.2,1.6504,26.2,0.0,2.0507,2.1815,1.5308,-15.63,-0.14
2026-09-24,SFMF,Sunrise First Mutual Fund,11.3,9.25,-18.14,2670,1137,3.12,deep_discount,low,IGNORE,liquidity:low,5,,stable,,0,0.33,0.54,0.27,0.44,0.9398,14.92,1.6216,0.8801,1.9504,1.9251,-18.62,-0.88
2026-09-24,RSY,Reliable Samriddhi Yojana,11.33,9.37,-17.3,1100,3142,8.61,deep_discount,low,IGNORE,liquidity:low; maturity:8.6y,15,,stable,,0,-2.09,-0.21,-1.77,-0.18,1.7785,28.23,2.0277,2.6244,2.4717,1.9934,-14.02,-0.57
2026-09-24,KEF,Kumari Equity Fund,11.23,9.33,-16.92,16250,1636,4.48,deep_discount,medium,IGNORE,maturity:4.5y,18,,widening,,0,-1.06,-1.79,-0.89,-1.51,1.8793,29.83,4.0729,2.7167,1.3329,3.1998,-18.46,-0.02
2026-09-24,PRSF,Prabhu Smart Fund,13.93,11.83,-15.08,174100,1998,5.47,deep_discount,high,IGNORE,maturity:5.5y,3,,stable,,0,0.51,0.08,0.43,0.07,1.5802,25.08,0.8453,2.1685,0.6798,2.4542,-12.1,0.28
2026-09-24,MBLEF,MBL Equity Fund,10.93,9.29,-15.0,5400,3837,10.51,deep_discount,medium,IGNORE,maturity:10.5y,13,,stable,,0,-0.11,0.43,-0.09,0.37,1.7359,27.56,0.5382,2.4531,0.4148,2.5428,-20.49,-0.64
2026-09-24,NICBF,NIC ASIA Balanced Fund,10.32,8.8,-14.73,0,1068,2.93,deep_discount,low,IGNORE,liquidity:low,19,,widening,,0,0.0,-1.23,0.0,-1.07,1.9756,31.36,0.0,1.6876,2.0565,2.4428,-19.72,-0.22
